FA_RFNBR,FA_CANME,單位
TIBA001,流動資產,仟元
TIBA002,現金及約當現金,仟元
TIBA003,金融資產-流動,仟元
TIBA004,應收票據/帳款-非關係人,仟元
TIBA005,應收票據/帳款-關係人,仟元
TIBA006,存貨,仟元
TIBA007,預付款項,仟元
TIBA008,其他流動資產,仟元
TIBA009,非流動資產,仟元
TIBA010,金融資產-非流動,仟元
TIBA011,採用權益法之投資,仟元
TIBA012,不動產、廠房及設備,仟元
TIBA013,投資性不動產淨額,仟元
TIBA014,其他非流動資產,仟元
TIBA015,資產總額,仟元
TIBA016,流動負債,仟元
TIBA017,短期借款,仟元
TIBA018,一年內到期長期負債,仟元
TIBA019,應付短期票券,仟元
TIBA020,金融負債-流動,仟元
TIBA021,應付票據,仟元
TIBA022,應付帳款,仟元
TIBA023,其他應付款,仟元
TIBA024,負債準備-流動,仟元
TIBA025,其他流動負債,仟元
TIBA026,非流動負債,仟元
TIBA027,金融負債-非流動,仟元
TIBA028,應付公司債,仟元
TIBA029,長期銀行借款,仟元
TIBA030,長期應付租賃款,仟元
TIBA031,關係人借款,仟元
TIBA032,其他非流動負債,仟元
TIBA033,負債總額,仟元
TIBA034,歸屬於母公司業主之權益,仟元
TIBA035,股本,仟元
TIBA036,公積及盈餘,仟元
TIBA037,其他權益,仟元
TIBA038,庫藏股,仟元
TIBA039,非控制權益,仟元
TIBA040,權益總額,仟元
TIBA041,營業收入,仟元
TIBA042,(營業成本),仟元
TIBA043,營業毛利,仟元
TIBA044,營業費用,仟元
TIBA045,其他收益及費損淨額,仟元
TIBA046,營業利益,仟元
TIBA047,利息費用,仟元
TIBA048,營業外收支淨額(不含利息費用),仟元
TIBA049,稅前淨利,仟元
TIBA050,所得稅費用(利益),仟元
TIBA051,停業部門損益,仟元
TIBA052,本期損益,仟元
TIBA053,其他綜合損益淨額,仟元
TIBA054,本期綜合損益總額,仟元
TIBA055,本期損益歸屬於母公司業主,仟元
TIBA056,本期損益歸屬於非控制權益,仟元
TIBA057,本期綜合損益歸屬於母公司業主,仟元
TIBA058,本期綜合損益歸屬於非控制權益,仟元
TIBA059,或有負債,仟元
TIBA060,折舊,仟元
TIBA061,資本化利息,仟元
TIBA062,每股盈餘(元),仟元
TIBA063,稅前息前折舊前淨利,仟元
TIBB001,負債總額/資產總額,%
TIBB002,負債總額/權益總額,%
TIBB003,權益總額/資產總額,%
TIBB004,(銀行借款+短期票券+公司債)/權益總額,%
TIBB005,(非流動資產-其他非流動資產)/(權益總額+非流動負債),%
